comment,label
오늘 내용 보면서 저도 모르게 팔에 소름이 쫙 돋았네요  특히 마지막부분이 진짜 무서움 증폭 되는 거 같아요 그거 딱 보고 정신 차리니까 팔에 소름 돋아있더라구요 허어 여튼 오늘도 재미있게 보고 갑니다  다음 화도 기대하고 있겠습니다 ,소름돋는
보면서 소름돋는다 하와아아ㅏ아ㅜㅠㅠ,소름돋는
와 소름돋는다 개오져,소름돋는
와미친 소름돋음,소름돋는
ㅇㄴ 직쏘에 고사야 개소름돋어 ㅜㅠㅠㅠㅠ 잘 보고 갑니당,소름돋는
진짜 어디서 데려온 웹툰 작가님들이지 ㄷㄷ 실력이 어마어마하시네요 너무 소름돋게 잘 표현함 ,소름돋는
아 소름 돋아 ,소름돋는
크 소름 돋았다 머리부터 발끝까지 ,소름돋는
오 소름,소름돋는
전독시 초기 파트는 내가 개인적으로 젤 좋아한 파트임  읽다 보면 뭔가 전율하게 되는 그런 게 있음 ,소름돋는
도깨비 얼굴이 ㅎㄷㄷ,어두운
헐 무시하고 봤는데 확실히   걸어야 되네 ㄷ 아ㅠ 진짜 도깨비 너무 무섭다ㄷ,어두운
이거 신들의 무궁화꽃이 피었습니다랑 죽는게 같은데,어두운
도깨비 빨간 눈 겁나무서웠음,어두운
ㅓㅜ  무서워  그래서 더재밌어,어두운
으어어 도깨비 무셔 ,어두운
작가님 저 무서워요 ㅠㅠㅠㅠ,어두운
가볍게 봤는데 생각보다 잔인 ,어두운
입이 어우 근질 입질이 너무 지혜 표정이 너무 공허해서 가슴이 먹먹해지네,어두운
머리 터지는거 너무 잔인해요 ㅠㅠㅠㅠㅠㅠ,어두운
이 소설 본 적은 없는데 인기 많은건 알고 있었는데  이렇게 무서운 내용이였어요 ,어두운
재밋을것같은데 무서워서 제대로못보겟어 ,어두운
무섭다  ㅠㅠ,어두운
오우야 무섭다,어두운
무서워ㅠㅠ,어두운
아 근데 좀 무섭다  와우 ,어두운
진짜 귀여운 모습하다가 웃는거 섬뜩하네 ㄷㄷ,어두운
근데 진짜 저런 인간들 개 역겹다,어두운
말은 하지 않았지만 모두 첫번째 시나리오를 걸쳐 온 사람들이라는 게 제일 소름돋는다 저기서 비겁하게 굴든 위선을 떨든 결국 첫번째 시나리오를 통해 본인이 살아남으려고 다른 사람을 죽이고 올라 온 사실이라는 건 변하지 않을거니까,어두운
내가 이래서 인간이 싫어  들이 왜 계속 ㅈㄹ들일까 역겹네 시발 ,어두운
잔인한건 너희들이겠지 역겨워 ,어두운
군인아저씨 너무 잘생겼다,잘생긴
나 소설 안본 독자인데 저 실루엣 내 웹툰 짬밥으로 보니  잘생겼다   알 수 있어   쟤 잘생겼어   ,잘생긴
카페 향이 많이나네 모든 인물 잘생기게 그리는 그곳,잘생긴
김독자 너무 잘생김 ,잘생긴
중혁아ㅠㅠ  독자남친 실루엣존멋 ㅠㅠ,잘생긴
현성 멋있다 ,잘생긴
군인잘생겼다,잘생긴
김독자  너 왜케 잘생겼어,잘생긴
근데ㅋㅋㅋ 독자가 생각보다 개 잘생겼는데 ,잘생긴
독자 너무 잘생기게 나왔어요  조금 못생기게나와도 갠찬을것 같아요,잘생긴
잘생기면 다 오빠지만 독자는 아니다 내 새끼다 독자야ㅠㅠㅠㅠㅠㅠ사랑해,잘생긴
독자 왤케 잘생김 ,잘생긴
주안공 왤캐 잘생기게뽑혔냐,잘생긴
와 작가님 못 생긴 거 못 그리죠 진짜 가슴이 웅장해집니다 ,잘생긴
댓으로 나오는 등장인물한테 반응하지말라는데 자기 최애가나오는데 어떻게 가만히 있음ㅋㅋㅋㅋ 소리지르고 울고싶은게 마음인데우리실루엣  많이 아끼고있었는데 어떻게 실루엣까지 잘생겼니 미칠것같아 ㅠㅠㅠ,잘생긴
이현성 개 멋있어,잘생긴
미친 전독시 들은걸로는 남캐만 수두룩한 게이소설인줄 알았는데 지혜  지혜라고  언니 너무 잘생겼다 사랑해 미친,잘생긴
ㅜ   ㅠ 등장인물 전부 존잘 ,잘생긴
크하 원작고증 지린다 진짜 상상한 그모습 그대로네 근데 독자형 소설에는 못생기게 묘사되어있는데 욀케 잘생김 ,잘생긴
요즘 판타지물 네이버에 많이 올라오네진짜 좋아 히힣힣,판타지물
아 구원의 마왕 할때 진짜 기대된다 ㅠㅠㅠㅠ,판타지물
흔한 양산물판타지 이세계물인줄알았는데 재밌네ㄹㅇ ,판타지물
진짜개잼있네 나같은 판타지소설 이해력 딸려서 못ㅂ 는 사람들은 만세를 외칩니다 크흐 따흙,판타지물
보면 나혼렙이랑은 완전히 다릅니다 충분히 보실만하다고 장담함,판타지물
나혼렙 아류작인줄 알았는데 이것도 재밌네 ,판타지물
이거 볼때마다 느끼는데 그림체랑 스토리가 나 혼자만 레벨럽 느낌이남,판타지물
아 이거 괜히 봤다 아껴놨다가  년 있다볼걸 느낌이 나혼업이랑 비슷해서 재밌메 ,판타지물
긴고아의 죄수면 손오공  최강인데 ,판타지물
아니 난 어느 만화든 제천대성이 너무 좋아ㅜㅜ,판타지물
우리엘 손 너무 예쁘다 ,판타지물
제천대성 저정도면 레알 털복숭안데 아니지털복숭이라고 해야되나,판타지물
우리엘 제천대성  ㅠㅠ,판타지물
여러분 재천대성 ㅈㄴ쌔요 ㄹㅇ,판타지물
그니까 성좌라는 대단한 것들이 지금 유튜브 같은 거나 보면서 낄낄대고 후원하고 있다는 건가,판타지물
스포 봐도 이해가 안되네 인간이 성좌가 될 수 있다는거임 ,판타지물
우리엘 지렸다 ,판타지물
와 성좌방송을 저렇게 표현했구나  대박이다,판타지물
진모리 생각나네 제천대성  주인,판타지물
 성좌   화요일 밤을 기다리는 눈 이  긴고아의 죄수 의 머리털은 멀쩡하냐고 묻습니다 ,판타지물
유상아 나중에 ㅈㄴ쌔지고 힐러 역할 맡는데 자기 목숨 희생해서 주인공 살리는 장면 빨리 보고싶다 ㅠㅠ,먼치킨인
독자 나중에 성좌됨,먼치킨인
ㅋㅋㅋ 세 ㅋㅋ,먼치킨인
유중혁 간지가 보통 간지가 아닌데  역시 저 정도는 되어야 주인공 자리에 오를수 있는건가,먼치킨인
와 디버프제거도있어 사기스킬이긴하네 ㅋㅋ,먼치킨인
김독자무려 카리오의 제자이며 명계의 후계자이며그리고 김독자컴퍼니를 만들어 무려 성마대전 서유기등등작은 성운이 쓸어버렸다고 그리고 거대설화 기 승 전 결을 완성했다고 ,먼치킨인
독자 왕따였음  근데 존나 쎈데,먼치킨인
이런 먼치킨이 좋아 흫,먼치킨인
먼치킨물 기다렸다,먼치킨인
힘 차이가 압도적이네 ㄷㄷ,먼치킨인
완전 쎄네,먼치킨인
먼치킨인듯,먼치킨인
유중혁 간지가 보통 간지가 아닌데  역시 저 정도는 되어야 주인공 자리에 오를수 있는건가,먼치킨인
와 디버프제거도있어 사기스킬이긴하네 ㅋㅋ,먼치킨인
김독자무려 카리오의 제자이며 명계의 후계자이며그리고 김독자컴퍼니를 만들어 무려 성마대전 서유기등등작은 성운이 쓸어버렸다고 그리고 거대설화 기 승 전 결을 완성했다고 ,먼치킨인
독자 왕따였음  근데 존나 쎈데,먼치킨인
이런 먼치킨이 좋아 흫,먼치킨인
먼치킨물 기다렸다,먼치킨인
힘 차이가 압도적이네 ㄷㄷ,먼치킨인
완전 쎄네,먼치킨인
먼치킨인듯,먼치킨인
